fast_window,slow_window,momentum_window,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
15,100,100,-inf,full_pre_cutoff maxDD=-0.2530 超过阈值 0.2,2.8,-0.0473,0.1324,0.06,-0.1069,0.0062,0.11,-0.253,0.028399999999999998
20,120,150,-inf,full_pre_cutoff maxDD=-0.2468 超过阈值 0.2,5.27,-0.0377,0.1989,1.86,-0.0655,0.122,0.2,-0.2468,0.049800000000000004
25,150,120,-inf,full_pre_cutoff maxDD=-0.2163 超过阈值 0.2,1.56,-0.0738,0.1151,1.0,-0.0761,0.0762,0.25,-0.2163,0.0546
25,150,100,-inf,full_pre_cutoff maxDD=-0.2156 超过阈值 0.2,1.91,-0.0738,0.1408,1.08,-0.0738,0.0801,0.3,-0.21559999999999999,0.0638
25,120,150,-inf,full_pre_cutoff maxDD=-0.2161 超过阈值 0.2,1.53,-0.0737,0.113,1.02,-0.0738,0.0753,0.28,-0.2161,0.059699999999999996
25,120,120,-inf,full_pre_cutoff maxDD=-0.2143 超过阈值 0.2,1.58,-0.0738,0.1164,1.02,-0.0755,0.077,0.27,-0.2143,0.057300000000000004
25,120,100,-inf,full_pre_cutoff maxDD=-0.2182 超过阈值 0.2,1.83,-0.0738,0.135,0.58,-0.0742,0.0429,0.27,-0.2182,0.059699999999999996
25,100,150,-inf,full_pre_cutoff maxDD=-0.2302 超过阈值 0.2,0.76,-0.0738,0.055999999999999994,0.65,-0.0738,0.04769999999999999,0.22,-0.2302,0.0518
25,100,120,-inf,full_pre_cutoff maxDD=-0.2377 超过阈值 0.2,1.57,-0.0738,0.11599999999999999,1.01,-0.0757,0.0768,0.21,-0.2377,0.05
25,100,100,-inf,full_pre_cutoff maxDD=-0.2254 超过阈值 0.2,1.92,-0.0737,0.1417,0.83,-0.0738,0.0613,0.23,-0.2254,0.0509
20,150,150,-inf,full_pre_cutoff maxDD=-0.2507 超过阈值 0.2,6.64,-0.0378,0.2507,2.5,-0.0582,0.1456,0.22,-0.2507,0.056299999999999996
20,150,120,-inf,full_pre_cutoff maxDD=-0.2471 超过阈值 0.2,5.5,-0.0378,0.20800000000000002,1.76,-0.07139999999999999,0.1258,0.18,-0.24710000000000001,0.0444
20,150,100,-inf,full_pre_cutoff maxDD=-0.2535 超过阈值 0.2,6.67,-0.0377,0.2518,2.18,-0.06309999999999999,0.13720000000000002,0.23,-0.2535,0.0587
20,120,120,-inf,full_pre_cutoff maxDD=-0.2453 超过阈值 0.2,5.71,-0.0378,0.21559999999999999,1.89,-0.06849999999999999,0.12960000000000002,0.23,-0.24530000000000002,0.0556
15,100,120,-inf,full_pre_cutoff maxDD=-0.2778 超过阈值 0.2,2.35,-0.0472,0.1112,0.18,-0.11560000000000001,0.0212,0.07,-0.2778,0.0204
20,120,100,-inf,full_pre_cutoff maxDD=-0.2491 超过阈值 0.2,6.25,-0.0378,0.2359,1.36,-0.0689,0.09390000000000001,0.23,-0.2491,0.0582
20,100,150,-inf,full_pre_cutoff maxDD=-0.2596 超过阈值 0.2,3.77,-0.0377,0.1422,1.44,-0.0665,0.0955,0.17,-0.2596,0.044000000000000004
20,100,120,-inf,full_pre_cutoff maxDD=-0.2622 超过阈值 0.2,5.59,-0.0378,0.2113,1.82,-0.0701,0.1276,0.19,-0.2622,0.0496
20,100,100,-inf,full_pre_cutoff maxDD=-0.2536 超过阈值 0.2,6.58,-0.0378,0.2488,1.8,-0.0642,0.1157,0.2,-0.2536,0.0501
15,150,150,-inf,full_pre_cutoff maxDD=-0.2823 超过阈值 0.2,2.8,-0.0473,0.1326,0.3,-0.1041,0.031,0.12,-0.2823,0.0339
15,150,120,-inf,full_pre_cutoff maxDD=-0.2920 超过阈值 0.2,2.26,-0.0473,0.1069,0.17,-0.1173,0.0194,0.09,-0.292,0.0248
15,150,100,-inf,full_pre_cutoff maxDD=-0.2596 超过阈值 0.2,2.8,-0.0473,0.1326,0.31,-0.1067,0.0327,0.16,-0.2596,0.04019999999999999
15,120,150,-inf,full_pre_cutoff maxDD=-0.2801 超过阈值 0.2,1.77,-0.0473,0.0839,0.11,-0.1108,0.012,0.08,-0.2801,0.022099999999999998
15,120,120,-inf,full_pre_cutoff maxDD=-0.2766 超过阈值 0.2,2.37,-0.0473,0.1118,0.2,-0.114,0.0232,0.09,-0.2766,0.024900000000000002
15,120,100,-inf,full_pre_cutoff maxDD=-0.2627 超过阈值 0.2,2.49,-0.0473,0.11779999999999999,-0.13,-0.1124,-0.0144,0.12,-0.2627,0.0316
15,100,150,-inf,full_pre_cutoff maxDD=-0.2821 超过阈值 0.2,0.55,-0.0473,0.026099999999999998,-0.15,-0.1174,-0.0181,0.05,-0.2821,0.0151
25,150,150,-inf,full_pre_cutoff maxDD=-0.2164 超过阈值 0.2,2.08,-0.0738,0.1532,1.28,-0.0738,0.0943,0.31,-0.2164,0.0661
